s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5603596E-005, 2.2204460E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5603596E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.1611825E-002, 0.0000000E+000, 0.0000000E+000,-4.2765936E-007, 1.4448638E-004, 0.0000000E+000,-2.6675145E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2269274E-004, 0.0000000E+000, 1.0080000E-004, 0.0000000E+000
 1.8322365E-001, 2.5438777E+000, 0.0000000E+000,-8.7485257E-006, 4.6262568E-002,-1.2473710E-005,-4.9946972E-004, 0.0000000E+000, 0.0000000E+000, 4.4386524E-002, 2.5896196E+000,-1.4673636E+000, 2.0832000E-004, 0.0000000E+000
 2.5880215E-001, 2.5177322E+000, 0.0000000E+000,-4.6897436E-002, 3.6089063E-002,-1.7153432E-003,-6.7500059E-004, 0.0000000E+000, 0.0000000E+000, 2.6219759E+000, 2.5045335E+000,-2.9104345E+000, 2.8896000E-004, 0.0000000E+000
 3.2434052E-001, 1.4148399E+001, 0.0000000E+000,-1.5812753E-001, 2.4144831E-001,-3.4460855E-003,-8.0395131E-004, 0.0000000E+000, 0.0000000E+000, 2.5731655E+000, 1.4227470E+001,-4.0664800E+000, 3.6288000E-004, 0.0000000E+000
 3.8987890E-001, 9.1302121E+000, 0.0000000E+000,-5.9226146E-001, 1.3553330E-001,-1.7952470E-002,-1.2008169E-003, 0.0000000E+000, 0.0000000E+000, 1.4214862E+001, 8.6543307E+000,-5.0342339E+000, 4.3680000E-004, 0.0000000E+000
 4.4479012E-001, 1.9231306E+001, 0.0000000E+000,-1.0440182E+000, 3.0088336E-001,-2.3628122E-002,-1.1176243E-003, 0.0000000E+000, 0.0000000E+000, 8.7841120E+000, 1.8463425E+001,-5.9630826E+000, 4.9728000E-004, 0.0000000E+000
 4.9970132E-001, 1.8396594E+001, 0.0000000E+000,-2.5994152E+000, 2.5062388E-001,-4.0816829E-002,-1.3683221E-003, 0.0000000E+000, 0.0000000E+000, 1.8485021E+001, 1.6005618E+001,-6.7075684E+000, 5.5776000E-004, 0.0000000E+000
 5.5461252E-001, 2.9990624E+001, 0.0000000E+000,-4.9040657E+000, 4.0570532E-001,-5.1500093E-002,-1.4392343E-003, 0.0000000E+000, 0.0000000E+000, 1.6214944E+001, 2.5439324E+001,-7.4187067E+000, 6.1824000E-004, 0.0000000E+000
 6.0311091E-001, 2.9249956E+001, 0.0000000E+000,-9.5046715E+000, 3.0800631E-001,-7.0399385E-002,-1.7469295E-003, 0.0000000E+000, 0.0000000E+000, 2.5445586E+001, 1.9981145E+001,-8.0946979E+000, 6.7872000E-004, 0.0000000E+000
 6.5160930E-001, 3.8298192E+001, 0.0000000E+000,-1.3307324E+001, 3.9159613E-001,-7.7602249E-002,-1.8764545E-003, 0.0000000E+000, 0.0000000E+000, 2.0289912E+001, 2.5302986E+001,-8.6615212E+000, 7.3248000E-004, 0.0000000E+000
 7.0010769E-001, 3.8264149E+001, 0.0000000E+000,-2.0700151E+001, 2.7059695E-001,-8.9182096E-002,-2.1328171E-003, 0.0000000E+000, 0.0000000E+000, 2.5299907E+001, 1.7743280E+001,-9.1994710E+000, 7.8624000E-004, 0.0000000E+000
 7.4860609E-001, 4.1947227E+001, 0.0000000E+000,-2.1193513E+001, 3.2084409E-001,-8.8303463E-002,-2.2968465E-003, 0.0000000E+000, 0.0000000E+000, 1.7947661E+001, 2.0983958E+001,-9.7083636E+000, 8.4000000E-004,-7.9269609E-032
 7.9710448E-001, 4.0337979E+001, 0.0000000E+000,-2.6340999E+001, 2.1185582E-001,-9.0985545E-002,-2.4780425E-003, 0.0000000E+000, 0.0000000E+000, 2.0988567E+001, 1.4115373E+001,-1.0188291E+001, 8.9376000E-004,-5.3284187E-030
 8.4020370E-001, 4.4221653E+001, 0.0000000E+000,-2.3093319E+001, 3.1665565E-001,-8.5970939E-002,-2.6493693E-003, 0.0000000E+000, 0.0000000E+000, 1.4351067E+001, 2.1356370E+001,-1.0639584E+001, 9.4080000E-004,-9.1698162E-029
 8.8330299E-001, 4.0545359E+001, 0.0000000E+000,-2.7633733E+001, 1.9297537E-001,-8.9590738E-002,-2.7750748E-003, 0.0000000E+000, 0.0000000E+000, 2.1303837E+001, 1.3012235E+001,-1.1017055E+001, 9.8784000E-004,-9.4225487E-028
 9.2640227E-001, 4.0194547E+001, 0.0000000E+000,-1.8658016E+001, 3.0907995E-001,-8.8251429E-002,-2.9170406E-003, 0.0000000E+000, 0.0000000E+000, 1.3261543E+001, 2.1754442E+001,-1.1372859E+001, 1.0348800E-003,-6.5330323E-027
 9.6950150E-001, 4.1850294E+001, 0.0000000E+000,-1.8776025E+001, 3.2496603E-001,-8.8702008E-002,-3.0717236E-003, 0.0000000E+000, 0.0000000E+000, 2.1797832E+001, 2.3307461E+001,-1.1707590E+001, 1.0886400E-003,-3.2988980E-026
 1.0126008E+000, 4.2826219E+001, 0.0000000E+000,-1.8995647E+001, 3.2889602E-001,-9.5126397E-002,-3.2016764E-003, 0.0000000E+000, 0.0000000E+000, 2.3395262E+001, 2.4061140E+001,-1.2021938E+001, 1.1356800E-003,-1.3049966E-025
 1.0486307E+000, 4.8337877E+001, 0.0000000E+000,-2.0467305E+001, 3.8340217E-001,-1.0302945E-001,-3.2995460E-003, 0.0000000E+000, 0.0000000E+000, 2.4173756E+001, 2.8147646E+001,-1.2316647E+001, 1.1760000E-003,-3.6574013E-025
 1.0846606E+000, 4.9451350E+001, 0.0000000E+000,-2.1851236E+001, 3.7068044E-001,-1.1018642E-001,-3.3847608E-003, 0.0000000E+000, 0.0000000E+000, 2.8223093E+001, 2.7857223E+001,-1.2548510E+001, 1.2163200E-003,-9.1420066E-025
 1.1206907E+000, 5.1358115E+001, 0.0000000E+000,-2.0425889E+001, 4.1146961E-001,-1.1843427E-001,-3.4670226E-003, 0.0000000E+000, 0.0000000E+000, 2.7984931E+001, 3.1221794E+001,-1.2767679E+001, 1.2566400E-003,-2.0936331E-024
 1.1508105E+000, 5.3862259E+001, 0.0000000E+000,-2.1365049E+001, 4.2650977E-001,-1.2501476E-001,-3.5270847E-003, 0.0000000E+000, 0.0000000E+000, 3.1322057E+001, 3.2795177E+001,-1.2974646E+001, 1.2902400E-003,-3.9918449E-024
 1.1809304E+000, 5.4912083E+001, 0.0000000E+000,-2.1880235E+001, 4.2173633E-001,-1.3062992E-001,-3.5910822E-003, 0.0000000E+000, 0.0000000E+000, 3.2919435E+001, 3.3319363E+001,-1.3138653E+001, 1.3238400E-003,-7.2435569E-024
 1.2110503E+000, 5.6846452E+001, 0.0000000E+000,-2.1728608E+001, 4.4416082E-001,-1.3504541E-001,-3.6511361E-003, 0.0000000E+000, 0.0000000E+000, 3.3470594E+001, 3.5423308E+001,-1.3294772E+001, 1.3574400E-003,-1.2621250E-023
 1.2411702E+000, 5.8452095E+001, 0.0000000E+000,-2.2321145E+001, 4.4569259E-001,-1.3935243E-001,-3.7167578E-003, 0.0000000E+000, 0.0000000E+000, 3.5583791E+001, 3.6433573E+001,-1.3443295E+001, 1.3910400E-003,-2.1225390E-023
 1.2674533E+000, 6.0226397E+001, 0.0000000E+000,-2.3515056E+001, 4.4175359E-001,-1.4303367E-001,-3.7689243E-003, 0.0000000E+000, 0.0000000E+000, 3.6599998E+001, 3.7006293E+001,-1.3584509E+001, 1.4179200E-003,-3.2657061E-023
 1.2907313E+000, 6.1935843E+001, 0.0000000E+000,-2.3921137E+001, 4.5348430E-001,-1.4732756E-001,-3.8555369E-003, 0.0000000E+000, 0.0000000E+000, 3.7177784E+001, 3.8317007E+001,-1.3701991E+001, 1.4448000E-003,-4.6991798E-023
 1.3140093E+000, 6.2710543E+001, 0.0000000E+000,-2.4926778E+001, 4.3522033E-001,-1.5345398E-001,-3.9266738E-003, 0.0000000E+000, 0.0000000E+000, 3.8482252E+001, 3.8061605E+001,-1.3801730E+001, 1.4716800E-003,-6.6489053E-023
 1.3372872E+000, 6.4624363E+001, 0.0000000E+000,-2.5805330E+001, 4.4003884E-001,-1.5972485E-001,-4.0433911E-003, 0.0000000E+000, 0.0000000E+000, 3.8247859E+001, 3.9095304E+001,-1.3897553E+001, 1.4985600E-003,-9.2731145E-023
 1.3605652E+000, 6.5413763E+001, 0.0000000E+000,-2.6596337E+001, 4.2486030E-001,-1.6737880E-001,-4.0680032E-003, 0.0000000E+000, 0.0000000E+000, 3.9297881E+001, 3.9070840E+001,-1.3989590E+001, 1.5254400E-003,-1.2765315E-022
 1.3810669E+000, 6.7382376E+001, 0.0000000E+000,-2.7655928E+001, 4.2881388E-001,-1.7411777E-001,-4.1518332E-003, 0.0000000E+000, 0.0000000E+000, 3.9262392E+001, 3.9976993E+001,-1.4077967E+001, 1.5456000E-003,-1.6769498E-022
 1.4015687E+000, 6.8131443E+001, 0.0000000E+000,-2.8761725E+001, 4.0849767E-001,-1.8022522E-001,-4.1785297E-003, 0.0000000E+000, 0.0000000E+000, 4.0177687E+001, 3.9593811E+001,-1.4152868E+001, 1.5724800E-003,-2.1826140E-022
 1.4220704E+000, 6.9961401E+001, 0.0000000E+000,-2.9345899E+001, 4.1813344E-001,-1.8520846E-001,-4.2351334E-003, 0.0000000E+000, 0.0000000E+000, 3.9836357E+001, 4.0844192E+001,-1.4225110E+001, 1.5926400E-003,-2.8184811E-022
 1.4425721E+000, 7.0229354E+001, 0.0000000E+000,-3.0350542E+001, 3.9103825E-001,-1.8995101E-001,-4.2827220E-003, 0.0000000E+000, 0.0000000E+000, 4.1095648E+001, 4.0075617E+001,-1.4294773E+001, 1.6128000E-003,-3.6130815E-022
 1.4608454E+000, 7.1926331E+001, 0.0000000E+000,-3.1218579E+001, 3.9334680E-001,-1.9265994E-001,-4.3380065E-003, 0.0000000E+000, 0.0000000E+000, 4.0313740E+001, 4.0904101E+001,-1.4361934E+001, 1.6329600E-003,-4.4854893E-022
 1.4791187E+000, 7.2011519E+001, 0.0000000E+000,-3.1376771E+001, 3.7993103E-001,-1.9506233E-001,-4.4100500E-003, 0.0000000E+000, 0.0000000E+000, 4.1146052E+001, 4.0815207E+001,-1.4419753E+001, 1.6598400E-003,-5.5368300E-022
 1.4973919E+000, 7.2681382E+001, 0.0000000E+000,-3.2012102E+001, 3.6886369E-001,-1.9697443E-001,-4.4765948E-003, 0.0000000E+000, 0.0000000E+000, 4.0995461E+001, 4.0836692E+001,-1.4475704E+001, 1.6800000E-003,-6.8008233E-022
 1.5156652E+000, 7.2683942E+001, 0.0000000E+000,-3.2206903E+001, 3.5218365E-001,-1.9844948E-001,-4.5305497E-003, 0.0000000E+000, 0.0000000E+000, 4.1053422E+001, 4.0626243E+001,-1.4529837E+001, 1.7001600E-003,-8.3138380E-022
 1.5339385E+000, 7.3433889E+001, 0.0000000E+000,-3.1874435E+001, 3.5595315E-001,-1.9906938E-001,-4.5824868E-003, 0.0000000E+000, 0.0000000E+000, 4.0810175E+001, 4.1711755E+001,-1.4582208E+001, 1.7203200E-003,-1.0117118E-021
 1.5522118E+000, 7.3237479E+001, 0.0000000E+000,-3.2275271E+001, 3.3007014E-001,-1.9983089E-001,-4.6280455E-003, 0.0000000E+000, 0.0000000E+000, 4.1927073E+001, 4.1087819E+001,-1.4632868E+001, 1.7404800E-003,-1.2257180E-021
 1.5704851E+000, 7.4073137E+001, 0.0000000E+000,-3.2839703E+001, 3.1838584E-001,-1.9988291E-001,-4.6822621E-003, 0.0000000E+000, 0.0000000E+000, 4.1232826E+001, 4.1347254E+001,-1.4681864E+001, 1.7606400E-003,-1.4785890E-021
 1.5887583E+000, 7.4308954E+001, 0.0000000E+000,-3.2777368E+001, 3.0786626E-001,-2.0010860E-001,-4.7637114E-003, 0.0000000E+000, 0.0000000E+000, 4.1562929E+001, 4.1634580E+001,-1.4729249E+001, 1.7808000E-003,-1.7761072E-021
 1.6070316E+000, 7.6107289E+001, 0.0000000E+000,-3.3343128E+001, 3.1061753E-001,-1.9959184E-001,-4.8323022E-003, 0.0000000E+000, 0.0000000E+000, 4.1783593E+001, 4.2870355E+001,-1.4775070E+001, 1.8009600E-003,-2.1246798E-021
 1.6253049E+000, 7.5014588E+001, 0.0000000E+000,-3.4489304E+001, 2.6336476E-001,-1.9970492E-001,-4.8406893E-003, 0.0000000E+000, 0.0000000E+000, 4.3003842E+001, 4.0584103E+001,-1.4819371E+001, 1.8211200E-003,-2.5313945E-021
 1.6435782E+000, 7.9414025E+001, 0.0000000E+000,-3.3365114E+001, 3.3086374E-001,-1.9805171E-001,-4.9058602E-003, 0.0000000E+000, 0.0000000E+000, 4.0782888E+001, 4.6176818E+001,-1.4862202E+001, 1.8412800E-003,-3.0040185E-021
 1.6618514E+000, 7.8049368E+001, 0.0000000E+000,-3.5894707E+001, 2.5938004E-001,-1.9947497E-001,-4.8935987E-003, 0.0000000E+000, 0.0000000E+000, 4.6212975E+001, 4.2209673E+001,-1.4903605E+001, 1.8614400E-003,-3.5512562E-021
