s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3153891E-006,-5.5511151E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3153891E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-8.1844979E-008,-2.5268579E-003, 0.0000000E+000,-7.8392778E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3108675E-003, 0.0000000E+000, 6.9409463E-004, 0.0000000E+000
 2.3498102E-001, 2.3439017E+001, 0.0000000E+000,-7.9314966E-008, 4.2466857E-001, 1.6123141E-009,-9.8691488E-004, 0.0000000E+000, 0.0000000E+000,-4.7760160E-003, 2.3862698E+001, 0.0000000E+000, 1.3180113E-003, 0.0000000E+000
 3.5247153E-001, 2.2390167E+001, 0.0000000E+000,-4.0506916E-001, 3.5355969E-001,-2.6264326E-002,-3.7842843E-003, 0.0000000E+000, 0.0000000E+000, 2.3098352E+001, 2.2308609E+001, 0.0000000E+000, 1.8273479E-003, 0.0000000E+000
 4.6996203E-001, 1.1468937E+002, 0.0000000E+000,-5.9313020E+000, 1.6690017E+000,-5.9034174E-002,-3.4949123E-003, 0.0000000E+000, 0.0000000E+000, 2.2606198E+001, 1.1036454E+002, 0.0000000E+000, 2.2114436E-003, 0.0000000E+000
 5.2640426E-001, 1.1606370E+002, 0.0000000E+000,-1.0362055E+002, 3.7958307E-001,-1.5070777E-001,-4.6786296E-003, 0.0000000E+000, 0.0000000E+000, 1.0496965E+002, 1.2667348E+001, 0.0000000E+000, 2.3549507E-003, 0.0000000E+000
 5.8849066E-001, 1.1394062E+002, 0.0000000E+000,-1.8304887E+001, 1.4874506E+000,-6.9039511E-002,-6.0382907E-003, 0.0000000E+000, 0.0000000E+000, 1.4653262E+001, 9.7048108E+001, 0.0000000E+000, 2.4861041E-003, 0.0000000E+000
 6.5057713E-001, 9.1757546E+001, 0.0000000E+000,-1.3673668E+002,-5.0919990E-001,-1.4187281E-001,-5.4825918E-003, 0.0000000E+000, 0.0000000E+000, 9.5125163E+001,-4.5635687E+001, 0.0000000E+000, 2.5929561E-003, 0.0000000E+000
 6.8349659E-001, 8.5991162E+001, 0.0000000E+000,-3.4490370E+001, 8.2832071E-001,-9.3586731E-002,-6.3807273E-003, 0.0000000E+000, 0.0000000E+000,-4.5453931E+001, 5.2229145E+001, 0.0000000E+000, 2.6410394E-003, 0.0000000E+000
 7.1970809E-001, 1.1132525E+002, 0.0000000E+000,-4.9516863E+001, 9.5687671E-001,-9.2599444E-002,-6.5803961E-003, 0.0000000E+000, 0.0000000E+000, 5.1482549E+001, 6.2666080E+001, 0.0000000E+000, 2.6878890E-003, 0.0000000E+000
 7.5954068E-001, 1.0617577E+002, 0.0000000E+000,-6.4087481E+001, 6.8636172E-001,-1.0049212E-001,-6.9162528E-003, 0.0000000E+000, 0.0000000E+000, 6.1922623E+001, 4.2667237E+001, 0.0000000E+000, 2.7328806E-003, 0.0000000E+000
 8.0335653E-001, 1.0971151E+002, 0.0000000E+000,-5.0520368E+001, 9.6747229E-001,-9.3245190E-002,-7.2665393E-003, 0.0000000E+000, 0.0000000E+000, 4.2564219E+001, 6.0058101E+001, 0.0000000E+000, 2.7753999E-003, 0.0000000E+000
 8.4717238E-001, 1.1226402E+002, 0.0000000E+000,-5.1740200E+001, 1.0023286E+000,-9.1718432E-002,-7.5197664E-003, 0.0000000E+000, 0.0000000E+000, 5.9807582E+001, 6.1426912E+001, 0.0000000E+000, 2.8115727E-003, 0.0000000E+000
