s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3474054E-006,-1.1102230E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3474054E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-8.2286260E-008,-1.4904106E-004, 0.0000000E+000,-1.0890546E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2381779E-003, 0.0000000E+000, 7.1624658E-004, 0.0000000E+000
 2.3498102E-001, 2.5455217E+001, 0.0000000E+000,-7.5025708E-008, 4.3895304E-001, 3.4324528E-009,-1.2534126E-003, 0.0000000E+000, 0.0000000E+000,-1.9329673E-003, 2.5892917E+001, 0.0000000E+000, 1.3600755E-003, 0.0000000E+000
 3.5247153E-001, 2.3130795E+001, 0.0000000E+000,-4.3135892E-001, 3.8053719E-001,-2.7835820E-002,-6.8149013E-003, 0.0000000E+000, 0.0000000E+000, 2.5330263E+001, 2.3045323E+001, 0.0000000E+000, 1.8856675E-003, 0.0000000E+000
 4.6996203E-001, 1.1786405E+002, 0.0000000E+000,-4.6544053E+000, 1.8268155E+000,-6.2066176E-002,-5.8680898E-003, 0.0000000E+000, 0.0000000E+000, 2.3052758E+001, 1.1496853E+002, 0.0000000E+000, 2.2820216E-003, 0.0000000E+000
 5.3478801E-001, 1.1888114E+002, 0.0000000E+000,-6.9767753E+001, 8.6015131E-001,-1.7235431E-001,-9.0146926E-003, 0.0000000E+000, 0.0000000E+000, 1.1179506E+002, 4.9792170E+001, 0.0000000E+000, 2.4499917E-003, 0.0000000E+000
 5.9961396E-001, 1.3297118E+002, 0.0000000E+000,-5.0941713E+001, 1.2879765E+000,-1.3672399E-001,-1.1278876E-002, 0.0000000E+000, 0.0000000E+000, 5.0311071E+001, 8.3169444E+001, 0.0000000E+000, 2.5869325E-003, 0.0000000E+000
 6.5745038E-001, 1.2682921E+002, 0.0000000E+000,-8.3618561E+001, 7.3692670E-001,-1.6760505E-001,-1.2504763E-002, 0.0000000E+000, 0.0000000E+000, 8.2632833E+001, 4.3767471E+001, 0.0000000E+000, 2.6865437E-003, 0.0000000E+000
 7.1528679E-001, 1.3365782E+002, 0.0000000E+000,-5.7866058E+001, 1.2404584E+000,-1.2715619E-001,-1.3517448E-002, 0.0000000E+000, 0.0000000E+000, 4.3685721E+001, 7.6891550E+001, 0.0000000E+000, 2.7680978E-003, 0.0000000E+000
 7.6226538E-001, 1.1306460E+002, 0.0000000E+000,-4.9090667E+001, 1.0762405E+000,-1.2708857E-001,-1.4207349E-002, 0.0000000E+000, 0.0000000E+000, 7.6804167E+001, 6.4908876E+001, 0.0000000E+000, 2.8230383E-003, 0.0000000E+000
 8.0924398E-001, 1.2595850E+002, 0.0000000E+000,-5.6439474E+001, 1.1746143E+000,-1.3595849E-001,-1.4792008E-002, 0.0000000E+000, 0.0000000E+000, 6.4866233E+001, 7.0542887E+001, 0.0000000E+000, 2.8693518E-003, 0.0000000E+000
 8.5622257E-001, 1.3996749E+002, 0.0000000E+000,-5.6597265E+001, 1.3736363E+000,-1.2230688E-001,-1.5134177E-002, 0.0000000E+000, 0.0000000E+000, 7.0491472E+001, 8.4606417E+001, 0.0000000E+000, 2.9082831E-003, 0.0000000E+000
 8.9094520E-001, 1.6663461E+002, 0.0000000E+000,-5.9202571E+001, 1.7478212E+000,-1.1576429E-001,-1.5234584E-002, 0.0000000E+000, 0.0000000E+000, 8.4453981E+001, 1.0904886E+002, 0.0000000E+000, 2.9329637E-003, 0.0000000E+000
 9.2045963E-001, 1.9740197E+002, 0.0000000E+000,-8.1139136E+001, 1.9017841E+000,-1.1304807E-001,-1.5266026E-002, 0.0000000E+000, 0.0000000E+000, 1.0887029E+002, 1.1803630E+002, 0.0000000E+000, 2.9515418E-003, 0.0000000E+000
 9.4620168E-001, 2.0487526E+002, 0.0000000E+000,-8.6917763E+001, 1.9600278E+000,-1.1275585E-001,-1.5330158E-002, 0.0000000E+000, 0.0000000E+000, 1.1774336E+002, 1.1978944E+002, 0.0000000E+000, 2.9661276E-003, 0.0000000E+000
 9.7194368E-001, 2.0068809E+002, 0.0000000E+000,-8.2229451E+001, 1.9890774E+000,-1.1113182E-001,-1.5357539E-002, 0.0000000E+000, 0.0000000E+000, 1.1960778E+002, 1.2032122E+002, 0.0000000E+000, 2.9793468E-003, 0.0000000E+000
 9.9768573E-001, 1.9091641E+002, 0.0000000E+000,-7.7471611E+001, 1.9157327E+000,-1.0987498E-001,-1.5327721E-002, 0.0000000E+000, 0.0000000E+000, 1.2015485E+002, 1.1523533E+002, 0.0000000E+000, 2.9913220E-003, 0.0000000E+000
 1.0185200E+000, 1.8453107E+002, 0.0000000E+000,-7.0056752E+001, 1.9537152E+000,-1.0868615E-001,-1.5270550E-002, 0.0000000E+000, 0.0000000E+000, 1.1499856E+002, 1.1630408E+002, 0.0000000E+000, 3.0001810E-003, 0.0000000E+000
 1.0393542E+000, 1.7495986E+002, 0.0000000E+000,-5.9471944E+001, 1.9664566E+000,-1.0654820E-001,-1.5212706E-002, 0.0000000E+000, 0.0000000E+000, 1.1617446E+002, 1.1733262E+002, 0.0000000E+000, 3.0083543E-003, 0.0000000E+000
 1.0601884E+000, 1.6981552E+002, 0.0000000E+000,-5.4608309E+001, 1.9557659E+000,-1.0571147E-001,-1.5170568E-002, 0.0000000E+000, 0.0000000E+000, 1.1723272E+002, 1.1704209E+002, 0.0000000E+000, 3.0158935E-003, 0.0000000E+000
 1.0788671E+000, 1.6600496E+002, 0.0000000E+000,-5.1199271E+001, 1.9463626E+000,-1.0505493E-001,-1.5148664E-002, 0.0000000E+000, 0.0000000E+000, 1.1687092E+002, 1.1663185E+002, 0.0000000E+000, 3.0221528E-003, 0.0000000E+000
 1.0975457E+000, 1.6025544E+002, 0.0000000E+000,-4.7365021E+001, 1.9228418E+000,-1.0645841E-001,-1.5156017E-002, 0.0000000E+000, 0.0000000E+000, 1.1651808E+002, 1.1469165E+002, 0.0000000E+000, 3.0279730E-003, 0.0000000E+000
 1.1162244E+000, 1.5697146E+002, 0.0000000E+000,-4.5633761E+001, 1.8945810E+000,-1.0923388E-001,-1.5158508E-002, 0.0000000E+000, 0.0000000E+000, 1.1470692E+002, 1.1310789E+002, 0.0000000E+000, 3.0333840E-003, 0.0000000E+000
 1.1349031E+000, 1.5380351E+002, 0.0000000E+000,-4.4077894E+001, 1.8588679E+000,-1.1231124E-001,-1.5164247E-002, 0.0000000E+000, 0.0000000E+000, 1.1316177E+002, 1.1145701E+002, 0.0000000E+000, 3.0384141E-003, 0.0000000E+000
 1.1514683E+000, 1.5226099E+002, 0.0000000E+000,-4.2270807E+001, 1.8590374E+000,-1.1559335E-001,-1.5181333E-002, 0.0000000E+000, 0.0000000E+000, 1.1150907E+002, 1.1171845E+002, 0.0000000E+000, 3.0425774E-003, 0.0000000E+000
 1.1680336E+000, 1.5247084E+002, 0.0000000E+000,-4.2067357E+001, 1.8560743E+000,-1.1833884E-001,-1.5199653E-002, 0.0000000E+000, 0.0000000E+000, 1.1181807E+002, 1.1212602E+002, 0.0000000E+000, 3.0464790E-003, 0.0000000E+000
 1.1845989E+000, 1.5307303E+002, 0.0000000E+000,-4.3117702E+001, 1.8343389E+000,-1.2092173E-001,-1.5219486E-002, 0.0000000E+000, 0.0000000E+000, 1.1225177E+002, 1.1165352E+002, 0.0000000E+000, 3.0501348E-003, 0.0000000E+000
 1.2011642E+000, 1.5543627E+002, 0.0000000E+000,-4.4111948E+001, 1.8491135E+000,-1.2304334E-001,-1.5240384E-002, 0.0000000E+000, 0.0000000E+000, 1.1186744E+002, 1.1303515E+002, 0.0000000E+000, 3.0535603E-003, 0.0000000E+000
 1.2177294E+000, 1.5828221E+002, 0.0000000E+000,-4.5857446E+001, 1.8665810E+000,-1.2446223E-001,-1.5258279E-002, 0.0000000E+000, 0.0000000E+000, 1.1314348E+002, 1.1415162E+002, 0.0000000E+000, 3.0567695E-003, 0.0000000E+000
 1.2342948E+000, 1.6083013E+002, 0.0000000E+000,-4.7268974E+001, 1.8788485E+000,-1.2577041E-001,-1.5278425E-002, 0.0000000E+000, 0.0000000E+000, 1.1415751E+002, 1.1529896E+002, 0.0000000E+000, 3.0597761E-003, 0.0000000E+000
 1.2508601E+000, 1.6264438E+002, 0.0000000E+000,-4.9383065E+001, 1.8683425E+000,-1.2652259E-001,-1.5290709E-002, 0.0000000E+000, 0.0000000E+000, 1.1534185E+002, 1.1498784E+002, 0.0000000E+000, 3.0625925E-003, 0.0000000E+000
 1.2674254E+000, 1.6295164E+002, 0.0000000E+000,-5.0193085E+001, 1.8628107E+000,-1.2707736E-001,-1.5302158E-002, 0.0000000E+000, 0.0000000E+000, 1.1501191E+002, 1.1447898E+002, 0.0000000E+000, 3.0652307E-003, 0.0000000E+000
 1.2839906E+000, 1.6280199E+002, 0.0000000E+000,-5.0309784E+001, 1.8589160E+000,-1.2738323E-001,-1.5306247E-002, 0.0000000E+000, 0.0000000E+000, 1.1454793E+002, 1.1420843E+002, 0.0000000E+000, 3.0677018E-003, 0.0000000E+000
 1.3005559E+000, 1.6094682E+002, 0.0000000E+000,-4.9643647E+001, 1.8419506E+000,-1.2767649E-001,-1.5305872E-002, 0.0000000E+000, 0.0000000E+000, 1.1420525E+002, 1.1300214E+002, 0.0000000E+000, 3.0700163E-003, 0.0000000E+000
 1.3171213E+000, 1.5854101E+002, 0.0000000E+000,-4.8436555E+001, 1.8215924E+000,-1.2810471E-001,-1.5299321E-002, 0.0000000E+000, 0.0000000E+000, 1.1302591E+002, 1.1178265E+002, 0.0000000E+000, 3.0721839E-003, 0.0000000E+000
 1.3336865E+000, 1.5642164E+002, 0.0000000E+000,-4.6635158E+001, 1.8139524E+000,-1.2855812E-001,-1.5288239E-002, 0.0000000E+000, 0.0000000E+000, 1.1182795E+002, 1.1145659E+002, 0.0000000E+000, 3.0742140E-003, 0.0000000E+000
 1.3502518E+000, 1.5427449E+002, 0.0000000E+000,-4.5155023E+001, 1.7983320E+000,-1.2897422E-001,-1.5273100E-002, 0.0000000E+000, 0.0000000E+000, 1.1148286E+002, 1.1077355E+002, 0.0000000E+000, 3.0761151E-003, 0.0000000E+000
 1.3668171E+000, 1.5243863E+002, 0.0000000E+000,-4.3777841E+001, 1.7882328E+000,-1.2971460E-001,-1.5257055E-002, 0.0000000E+000, 0.0000000E+000, 1.1090806E+002, 1.1030405E+002, 0.0000000E+000, 3.0778954E-003, 0.0000000E+000
 1.3833824E+000, 1.5039640E+002, 0.0000000E+000,-4.2700946E+001, 1.7734949E+000,-1.3056065E-001,-1.5245983E-002, 0.0000000E+000, 0.0000000E+000, 1.1044207E+002, 1.0932314E+002, 0.0000000E+000, 3.0795625E-003, 0.0000000E+000
 1.3999476E+000, 1.4904036E+002, 0.0000000E+000,-4.1493141E+001, 1.7691419E+000,-1.3166586E-001,-1.5243475E-002, 0.0000000E+000, 0.0000000E+000, 1.0953647E+002, 1.0916945E+002, 0.0000000E+000, 3.0811235E-003, 0.0000000E+000
 1.4140981E+000, 1.4909223E+002, 0.0000000E+000,-4.0592532E+001, 1.7750436E+000,-1.3282995E-001,-1.5247011E-002, 0.0000000E+000, 0.0000000E+000, 1.0942244E+002, 1.1012666E+002, 0.0000000E+000, 3.0823780E-003, 0.0000000E+000
 1.4282486E+000, 1.4866961E+002, 0.0000000E+000,-4.0047235E+001, 1.7693840E+000,-1.3396411E-001,-1.5257081E-002, 0.0000000E+000, 0.0000000E+000, 1.1032204E+002, 1.1024253E+002, 0.0000000E+000, 3.0835639E-003, 0.0000000E+000
 1.4423990E+000, 1.4880796E+002, 0.0000000E+000,-4.0284556E+001, 1.7597926E+000,-1.3548875E-001,-1.5267443E-002, 0.0000000E+000, 0.0000000E+000, 1.1047923E+002, 1.1013244E+002, 0.0000000E+000, 3.0846850E-003, 0.0000000E+000
 1.4551311E+000, 1.5019520E+002, 0.0000000E+000,-4.0488092E+001, 1.7730242E+000,-1.3673109E-001,-1.5283428E-002, 0.0000000E+000, 0.0000000E+000, 1.1031694E+002, 1.1132812E+002, 0.0000000E+000, 3.0856412E-003, 0.0000000E+000
 1.4678630E+000, 1.5097597E+002, 0.0000000E+000,-4.1094184E+001, 1.7692410E+000,-1.3784831E-001,-1.5303057E-002, 0.0000000E+000, 0.0000000E+000, 1.1150256E+002, 1.1149788E+002, 0.0000000E+000, 3.0865502E-003, 0.0000000E+000
 1.4805949E+000, 1.5199282E+002, 0.0000000E+000,-4.1660286E+001, 1.7706405E+000,-1.3923527E-001,-1.5324855E-002, 0.0000000E+000, 0.0000000E+000, 1.1175563E+002, 1.1194862E+002, 0.0000000E+000, 3.0874143E-003, 0.0000000E+000
 1.4933269E+000, 1.5337190E+002, 0.0000000E+000,-4.2539050E+001, 1.7761932E+000,-1.4025706E-001,-1.5343452E-002, 0.0000000E+000, 0.0000000E+000, 1.1216396E+002, 1.1245344E+002, 0.0000000E+000, 3.0882358E-003, 0.0000000E+000
 1.5060588E+000, 1.5498470E+002, 0.0000000E+000,-4.3532222E+001, 1.7825482E+000,-1.4117453E-001,-1.5367806E-002, 0.0000000E+000, 0.0000000E+000, 1.1275258E+002, 1.1307848E+002, 0.0000000E+000, 3.0890166E-003, 0.0000000E+000
 1.5174242E+000, 1.5731980E+002, 0.0000000E+000,-4.4308345E+001, 1.8010746E+000,-1.4201069E-001,-1.5388716E-002, 0.0000000E+000, 0.0000000E+000, 1.1336483E+002, 1.1465513E+002, 0.0000000E+000, 3.0896810E-003, 0.0000000E+000
 1.5287898E+000, 1.5845131E+002, 0.0000000E+000,-4.4943496E+001, 1.7978267E+000,-1.4259572E-001,-1.5407845E-002, 0.0000000E+000, 0.0000000E+000, 1.1496417E+002, 1.1514764E+002, 0.0000000E+000, 3.0903160E-003, 0.0000000E+000
 1.5401552E+000, 1.5958957E+002, 0.0000000E+000,-4.5492995E+001, 1.6639847E+000,-1.4332229E-001,-1.5425743E-002, 0.0000000E+000, 0.0000000E+000, 1.1548050E+002, 1.1560181E+002, 0.0000000E+000, 3.0909229E-003, 0.0000000E+000
 1.5515207E+000, 1.6075942E+002, 0.0000000E+000,-4.5878908E+001, 8.7341309E-001,-1.4376429E-001,-1.5443050E-002, 0.0000000E+000, 0.0000000E+000, 1.1565866E+002, 1.1559472E+002, 0.0000000E+000, 3.0915029E-003, 0.0000000E+000
