s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHANOL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2541278E-006,-1.1102230E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2541278E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-8.1609447E-008,-1.8520294E-003, 0.0000000E+000,-4.0080389E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2529149E-003, 0.0000000E+000, 6.6455868E-004, 0.0000000E+000
 2.3498102E-001, 1.3430444E+001, 0.0000000E+000,-7.9889097E-008, 2.3911220E-001, 1.9643176E-009,-5.1100468E-004, 0.0000000E+000, 0.0000000E+000,-3.5343388E-003, 1.3669045E+001, 0.0000000E+000, 1.2619257E-003, 0.0000000E+000
 3.5247153E-001, 1.3295104E+001, 0.0000000E+000,-2.6889582E-001, 2.0850444E-001,-1.4437930E-002,-1.9353560E-003, 0.0000000E+000, 0.0000000E+000, 1.3374772E+001, 1.3218339E+001, 0.0000000E+000, 1.7495884E-003, 0.0000000E+000
 4.6996203E-001, 6.2144822E+001, 0.0000000E+000,-3.4040854E+000, 9.4034728E-001,-3.2767792E-002,-1.6978169E-003, 0.0000000E+000, 0.0000000E+000, 1.3362951E+001, 5.9646618E+001, 0.0000000E+000, 2.1173396E-003, 0.0000000E+000
 5.4254615E-001, 4.4077671E+001, 0.0000000E+000,-4.6843031E+001, 2.5100549E-003,-9.2016705E-002,-2.3528043E-003, 0.0000000E+000, 0.0000000E+000, 5.6582840E+001,-2.8572189E+000, 0.0000000E+000, 2.2898301E-003, 0.0000000E+000
 6.1513025E-001, 6.6269554E+001, 0.0000000E+000,-1.0406852E+001, 8.8019669E-001,-4.1447950E-002,-3.4116413E-003, 0.0000000E+000, 0.0000000E+000,-2.6456577E+000, 5.6698039E+001, 0.0000000E+000, 2.4268460E-003, 0.0000000E+000
 6.7710578E-001, 6.5154665E+001, 0.0000000E+000,-5.1187214E+001, 2.8449977E-001,-7.5257632E-002,-3.2972286E-003, 0.0000000E+000, 0.0000000E+000, 5.5106633E+001, 1.4173396E+001, 0.0000000E+000, 2.5201258E-003, 0.0000000E+000
 7.1029258E-001, 6.6500149E+001, 0.0000000E+000,-2.6046699E+001, 6.8369029E-001,-6.9368992E-002,-3.8979965E-003, 0.0000000E+000, 0.0000000E+000, 1.3477995E+001, 4.1063873E+001, 0.0000000E+000, 2.5623963E-003, 0.0000000E+000
 7.4347943E-001, 6.6831303E+001, 0.0000000E+000,-2.4289593E+001, 7.0861988E-001,-5.5528270E-002,-3.9914220E-003, 0.0000000E+000, 0.0000000E+000, 4.0877688E+001, 4.3190810E+001, 0.0000000E+000, 2.5999592E-003, 0.0000000E+000
