s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ACETONE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4336759E-006,-5.5511151E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4336759E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-5.3227415E-008,-2.3401087E-003, 0.0000000E+000,-3.2032221E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6604842E-003, 0.0000000E+000, 7.7531846E-004, 0.0000000E+000
 2.3498102E-001, 1.6366755E+001, 0.0000000E+000,-5.2173557E-008, 2.9510836E-001, 1.2599406E-009,-4.0013647E-004, 0.0000000E+000, 0.0000000E+000,-4.0941687E-003, 1.6661464E+001, 0.0000000E+000, 1.4722466E-003, 0.0000000E+000
 3.5247153E-001, 1.5066944E+001, 0.0000000E+000,-2.6493752E-001, 2.3550682E-001,-1.7392994E-002,-1.5351208E-003, 0.0000000E+000, 0.0000000E+000, 1.6286106E+001, 1.5018585E+001, 0.0000000E+000, 2.0411864E-003, 0.0000000E+000
 4.6996203E-001, 8.0220491E+001, 0.0000000E+000,-2.6623601E+000, 1.2427865E+000,-3.8087930E-002,-1.3770841E-003, 0.0000000E+000, 0.0000000E+000, 1.5249301E+001, 7.8761453E+001, 0.0000000E+000, 2.4702296E-003, 0.0000000E+000
 5.4446089E-001, 7.3040400E+001, 0.0000000E+000,-4.1562626E+001, 5.3022835E-001,-1.1643756E-001,-1.8474627E-003, 0.0000000E+000, 0.0000000E+000, 7.5517766E+001, 3.1889717E+001, 0.0000000E+000, 2.6761872E-003, 0.0000000E+000
 6.1895978E-001, 8.7193537E+001, 0.0000000E+000,-3.3761753E+001, 8.3771910E-001,-9.5043838E-002,-2.5395172E-003, 0.0000000E+000, 0.0000000E+000, 3.2039312E+001, 5.4171920E+001, 0.0000000E+000, 2.8387336E-003, 0.0000000E+000
 6.7946750E-001, 8.9858261E+001, 0.0000000E+000,-5.6378821E+001, 5.7229150E-001,-1.0701303E-001,-2.6951515E-003, 0.0000000E+000, 0.0000000E+000, 5.3771881E+001, 3.3942023E+001, 0.0000000E+000, 2.9438500E-003, 0.0000000E+000
 7.3997521E-001, 8.1626262E+001, 0.0000000E+000,-3.6242470E+001, 7.5661111E-001,-8.3963115E-002,-2.9983976E-003, 0.0000000E+000, 0.0000000E+000, 3.3862144E+001, 4.6053442E+001, 0.0000000E+000, 3.0289013E-003, 0.0000000E+000
 7.9341471E-001, 7.2912508E+001, 0.0000000E+000,-2.7453635E+001, 7.6013253E-001,-7.9814313E-002,-3.1522664E-003, 0.0000000E+000, 0.0000000E+000, 4.5832769E+001, 4.6136039E+001, 0.0000000E+000, 3.0900636E-003, 0.0000000E+000
 8.4685421E-001, 9.1809790E+001, 0.0000000E+000,-3.5122132E+001, 9.2425553E-001,-7.7575466E-002,-3.2962693E-003, 0.0000000E+000, 0.0000000E+000, 4.5932378E+001, 5.7531041E+001, 0.0000000E+000, 3.1403162E-003, 0.0000000E+000
 8.8342971E-001, 1.0704305E+002, 0.0000000E+000,-4.4969172E+001, 1.0215535E+000,-7.2720757E-002,-3.3168052E-003, 0.0000000E+000, 0.0000000E+000, 5.7242002E+001, 6.3019396E+001, 0.0000000E+000, 3.1693677E-003, 0.0000000E+000
 9.2000520E-001, 1.0983743E+002, 0.0000000E+000,-4.6096260E+001, 1.0639187E+000,-7.2332390E-002,-3.3521036E-003, 0.0000000E+000, 0.0000000E+000, 6.2843866E+001, 6.4729400E+001, 0.0000000E+000, 3.1946750E-003, 0.0000000E+000
 9.4762498E-001, 1.1090300E+002, 0.0000000E+000,-4.4766695E+001, 1.1054564E+000,-7.0382922E-002,-3.3698735E-003, 0.0000000E+000, 0.0000000E+000, 6.4624470E+001, 6.7168012E+001, 0.0000000E+000, 3.2115853E-003, 0.0000000E+000
 9.7524476E-001, 1.0901741E+002, 0.0000000E+000,-4.4067630E+001, 1.0916608E+000,-6.9026290E-002,-3.3716770E-003, 0.0000000E+000, 0.0000000E+000, 6.7050773E+001, 6.5969041E+001, 0.0000000E+000, 3.2268010E-003, 0.0000000E+000
 9.9952835E-001, 1.0705119E+002, 0.0000000E+000,-3.9941043E+001, 1.1226282E+000,-6.7567453E-002,-3.3674277E-003, 0.0000000E+000, 0.0000000E+000, 6.5864548E+001, 6.8161844E+001, 0.0000000E+000, 3.2389086E-003, 0.0000000E+000
 1.0238119E+000, 1.0268101E+002, 0.0000000E+000,-3.7268230E+001, 1.0903407E+000,-6.5763247E-002,-3.3494228E-003, 0.0000000E+000, 0.0000000E+000, 6.8024406E+001, 6.6434012E+001, 0.0000000E+000, 3.2499339E-003, 0.0000000E+000
 1.0444949E+000, 1.0109117E+002, 0.0000000E+000,-3.4872202E+001, 1.1028215E+000,-6.4036294E-002,-3.3276396E-003, 0.0000000E+000, 0.0000000E+000, 6.6365819E+001, 6.7254427E+001, 0.0000000E+000, 3.2585414E-003, 0.0000000E+000
 1.0651778E+000, 9.8953562E+001, 0.0000000E+000,-3.1687548E+001, 1.1122870E+000,-6.2895657E-002,-3.3122980E-003, 0.0000000E+000, 0.0000000E+000, 6.7217197E+001, 6.8312093E+001, 0.0000000E+000, 3.2664853E-003, 0.0000000E+000
